AT1G06143	AT1G06143
AT1G06147	AT1G06147
AT1G06148	AT1G06148
AT1G06150	LHL1
AT1G06153	AT1G06153
AT1G06157	AT1G06157
AT1G06160	ORA59
AT1G06163	AT1G06163
AT1G06170	bHLH089
AT1G06173	AT1G06173
AT1G06177	AT1G06177
AT1G06180	MYB13
AT1G06187	AT1G06187
AT1G06190	RHON1
AT1G06197	AT1G06197
AT1G06200	AT1G06200
AT1G06203	AT1G06203
AT1G06207	AT1G06207
AT1G06210	AT1G06210
AT1G06213	AT1G06213
AT1G06217	AT1G06217
AT1G06220	MEE5
AT1G06225	CLE3
AT1G06227	AT1G06227
AT1G06230	GTE4
AT1G06233	HID2
AT1G06237	AT1G06237
AT1G06240	AT1G06240
AT1G06243	AT1G06243
AT1G06247	AT1G06247
AT1G06250	AT1G06250
AT1G06253	AT1G06253
AT1G06257	AT1G06257
AT1G06260	AT1G06260
AT1G06263	AT1G06263
AT1G06265	AT1G06265
AT1G06267	AT1G06267
AT1G06270	AT1G06270
AT1G06273	AT1G06273
AT1G06277	AT1G06277
AT1G06280	LBD2
